Coder,Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,XC1.8.3_Interaction(old),XC1.8.3_Task_desc (will remove),C1.8.3_Intearction_code,C1.8.4_DoF_of_task,C1.8.5_User_rep
J,The Effects of Whole-Hand Interactions with One Fingertip Vibrotactile Feedback on Cooperative VR Game Experience and Performance,2023,"Moon, Hye and Moon, Hayoun and Orr, Grady and Jeon, Myounghoon",https://doi.org/10.1162/pres_a_00403,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,VR,Performance,Optimizing,-,"The game  was to manipulate and combine simple 3D objects, such as a cube, a sphere, and a cylinder, to  create a final artifact",Manipulating object,NA,Virtual hand(s)
WJ,The roles of sensory modalities in collaborative virtual environments (CVEs),2008,"Nam, Chang S. and Shu, Joseph and Chung, Donghun",https://doi.org/10.1016/j.chb.2007.07.014,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Maximizing,Object manipulation,An air hockey game,Manipulating object,2 (translational),Pointer
J,Increasing the Motivation to Train Through Haptic Social Interaction – Pilot study,2023,"Nehrujee, Aravind and Ivanova, Ekaterina and Sujatha, S. and Balasubramanian, Sivakumar and Burdet, Etienne",https://doi.org/10.1109/ICORR58425.2023.10304751,Synchronous,N/A,2,Symmetric,Object,Shared experience,Screen (2DVE),Performance,Maximizing,Object manipulation,-,Steering,1 (translational),Avatar (3rd-person-view)
WJ,(2nd study) Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,2013,"Qin, Jing and Choi, Kup‐Sze and Xu, Renheng and Pang, Wai‐Man and Heng, Pheng‐Ann",https://doi.org/10.1162/PRES_a_00132,Synchronous,Co-located: separated by obstacles,2,Symmetric ,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,Moving a ring towards a target destination,Manipulating object,3 (translational),Pointer
WJ,(3rd study) Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,2013,"Qin, Jing and Choi, Kup‐Sze and Xu, Renheng and Pang, Wai‐Man and Heng, Pheng‐Ann",https://doi.org/10.1162/PRES_a_00132,Synchronous,Co-located: separated by obstacles,2,Symmetric ,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,Moving a ring towards a target destination,Manipulating object,3 (translational),Pointer
J,Impacts of VR 3D sketching on novice designers’ spatial cognition in collaborative conceptual architectural design,2011,"Rahimian, Farzad Pour and Ibrahim, Rahinah",https://doi.org/10.1016/j.destud.2010.10.003,Synchronous,Co-located,2,Symmetric,Workspace,Shared workspace,Screen (3DVE),Creativity,Optimizing,-,-,Pointing,2,No visual representation
J,A Steering Experiment Towards Haptic Cooperative Maneuver Negotiation,2018,"Rothfuß, Simon and Grauer, Franziska and Flad, Michael and Hohmann, Sören",https://doi.org/10.1109/smc.2018.00543,Synchronous,Co-located: separated by obstacles,2,Symmetric,Workspace,Telepresence,Screen (2DVE),Performance,Optimizing,-,-,Steering,1,Pointer
J,Haptic guides in cooperative virtual environments: Design and human performance evaluation,2010,S. Ullah and P. Richard and S. Otmane and M. Naud and M. Mallem,https://doi.org/10.1109/HAPTIC.2010.5444616,Synchronous,Co-located,2,Symmetric,Object,Remote expert,VR,Performance,Optimizing,-,-,Manipulating object,3,Pointer
J,Supporting presence in collaborative environments by haptic force feedback,2000,"Sallnäs, Eva-Lotta and Rassmus-Gröhn, Kirsten and Sjöström, Calle",https://doi.org/10.1145/365058.365086,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared workspace,Screen (3DVE),Performance,Optimizing,-,-,Manipulating object,3,No visual representation
WJ,Experimental Internet Haptic Collaboration using Virtual Coupling Schemes,2008,"Sankaranarayanan, Ganesh and Hannaford, Blake",https://doi.org/10.1109/HAPTICS.2008.4479954,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation: steering,-,Manipulating object,3 (translational),Pointer
F,Mutual Skill Learning and Adaptability to Others via Haptic Interaction,2021,"Saracbasi, Ozge and Harwin, William and Kondo, Toshiyuki and Hayashi, Yoshikatsu","Saracbasi, Ozge and Harwin, William and Kondo, Toshiyuki and Hayashi, Yoshikatsu",Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (2DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,2,Pointer
WJ,Exploring Remote Collaborative Tasks: The Impact of Avatar Representation on Dyadic Haptic Interactions in Shared Virtual Environments,2025,"Sasaki, Genki and Igarashi, Hiroshi",https://doi.org/10.1109/TVCG.2025.3580546,Synchronous,Co-located,2,Symmetric,Person,Shared experience,VR,Performance,Optimizing,Object manipulation,The plate control task,Manipulating object,2 (translational),Avatar
WJ,The Influence of Avatar Representation on Haptic Interaction in Virtual Environment,2022,"Sasaki, Genki and Igarashi, Hiroshi",https://doi.org/10.1109/IECON49645.2022.9968985,Synchronous,Co-located,4,Symmetric,Object,Shared experience,VR,Performance,Optimizing,Object manipulation: steering,Plate-Control task: The purpose of this cooperative task is to move the ball onto the target.,Manipulating object,2 (translational),Avatar
F,Compensating the Effect of Communication Delay in Client-Server-Based Shared Haptic Virtual Environments,2015,"Schuwerk, Clemens and Xu, Xiao and Chaudhari, Rahul and Steinbach, Eckehard",https://doi.org/10.1145/2835176,Synchronous,Remote: simulated user input,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,Pointer
F,Comparative study on collaborative interaction in non-immersive and immersive systems,2007,"Shahab, Qonita and Kwon, Yong-Moo and Ko, Heedong and Mayangsari, Maria and Yamasaki, Shoko and Nishino, Hiroaki",https://doi.org/10.1117/12.733654,Synchronous,Remote: different countries,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,Virtual hand(s)
F,Architecture and Evaluation of Tele-Haptic Environments,2004,"Shen, Xiaojun and Zhou, Jilin and Saddik, Abdulmotaleb and Georganas, N.D.",https://doi.org/10.1109/DS-RT.2004.8,Synchronous,Remote: different countries,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,Pointer
