"title";"abstract";"cleaned_year";"author";"source";"link"
"PhyShare: Sharing physical interaction in virtual reality";"We present PhyShare, a new haptic user interface based on actuated robots. Virtual reality has recently been gaining wide adoption, and an effective haptic feedback in these scenarios can strongly support user's sensory in bridging virtual and physical world. Since participants do not directly observe these robotic proxies, we investigate the multiple mappings between physical robots and virtual proxies that can utilize the resources needed to provide a well rounded VR experience. PhyShare bots can act either as directly touchable objects or invisible carriers of physical objects, depending on different scenarios. They also support distributed collaboration, allowing remotely located VR collaborators to share the same physical feedback.";"2017";"He, Zhenyi and Zhu, Fengyuan and Perlin, Ken";"Adjunct proceedings of the 30th annual ACM symposium on user interface software and technology";"https://doi.org/10.1145/3131785.3131795"
"ShareHaptics: a modular haptic feedback system using shape memory alloy for mixed reality shared space applications";"We present ShareHaptics, a novel modular system to provide tactile and pressure feedback in mixed reality applications using a novel actuator: shape memory alloy (SMA). We apply it to fingers, wrist and foot ankle. Although it can be used for haptic feedback in a diverse set of use cases, we specifically focus on collaborative applications: ShareHaptics allows to haptically jack-in to a remote environment via a custom glove and ankle braces. We demonstrate a wide range of applications: watching sports, gaming, and collaborative discussions and skill transfer.";"2019";"Nakao, Takuro and Santana, Stevanus Kevin and Isogai, Megumi and Shimizu, Shinya and Kimata, Hideaki and Kunze, Kai and Pai, Yun Suen";"ACM SIGGRAPH 2019 posters";"https://doi.org/10.1145/3306214.3338597"
"INC-hg: An intelligent collaborative haptic-gripper virtual reality system";"Collaborative Virtual Environments (CVE) have shown potential to be an effective social skill training platform for children with Autism Spectrum Disorders (ASD) to learn and practice collaborative and communication skills through peer interactions. However, most existing CVE systems require that appropriately matched partners be available at the same time to promote interaction, which limits their applicability to some community settings due to scheduling constraints. A second shortcoming of these more naturalistic peer-based designs is the intensive resources required to manually code the unrestricted conversations that occurred during the peer-based interactions. To preserve the benefits of CVE-based platforms and mitigate some of the resource limitations related to peer availability, we developed an Intelligent Collaborative Haptic-Gripper System (INC-Hg). This system provides an intelligent agent partner who can understand, communicate, and haptically interact with the user, without requiring the presence of another human peer. The INC-Hg operates in real time and thus is able to perform collaborative training tasks at any time and at the user's pace. INC-Hg can also record the real-time data regarding spoken language and task performance, thereby greatly reducing the resource burden of communication and interaction performance analysis. A preliminary usability study with 10 participants with ASD (ages 8–12 years) indicated that the system could classify the participant's utterances into five classes with an accuracy of 70.34";"2022";"Zhao, Huan and Zaini Amat, Ashwaq and Migovich, Miroslava and Swanson, Amy and Weitlauf, Amy S. and Warren, Zachary and Sarkar, Nilanjan";"ACM Trans. Access. Comput.";"https://doi.org/10.1145/3487606"
"Neural functional analysis in virtual reality simulation: example of a human-robot collaboration tasks";"Human-robot collaboration has gained its popularity with the fast evolution of the Industry 4.0. One of the challenges of HRC is human-robot interface design that adapts to the personalized needs. This paper presents a method of using Virtual Reality (VR) simulation as a testbed and data collector for examining and modeling personal reactions to different human-robot interface designs. To obtain real-time leading indicator of human performance, this study focuses on the neural functional analysis in VR. An integrated system is presented using eye-tracking and force input data as event makers for Neuroimaging technique, i.e., Functional Near Infrared Spectroscopy (fNIRS). The real-time hemodynamic responses in subjects' brains are analyzed based on the general linear model (GLM) for modeling neural functional changes under different levels of haptic designs. Our results indicate that the neurobehavioral data collected from the VR environment can be used directly as a personalized model for human-robot interface optimization.";"2021";"Zhu, Qi and Du, Jing";"2020 Winter Simulation Conference (WSC)";"https://doi.org/10.1109/WSC48552.2020.9384065"
"Investigating a combination of input modalities, canvas geometries, and inking triggers on on-air handwriting in virtual reality";"Humans communicate by writing, often taking notes that assist thinking. With the growing popularity of collaborative Virtual Reality (VR) applications, it is imperative that we better understand aspects that affect writing in these virtual experiences. On-air writing in VR is a popular writing paradigm due to its simplicity in implementation without any explicit needs for specialized hardware. A host of factors can affect the efficacy of this writing paradigm and in this work, we delved into investigating the same. Along these lines, we investigated the effects of a combination of factors on users’ on-air writing performance, aiming to understand the circumstances under which users can both effectively and efficiently write in VR. We were interested in studying the effects of the following factors: (1) input modality: brush vs. near-field raycast vs. pointing gesture, (2) inking trigger method: haptic feedback vs. button based trigger, and (3) canvas geometry: plane vs. hemisphere. To evaluate the writing performance, we conducted an empirical evaluation with thirty participants, requiring them to write the words we indicated under different combinations of these factors. Dependent measures including the writing speed, accuracy rates, perceived workloads, and so on, were analyzed. Results revealed that the brush based input modality produced the best results in writing performance, that haptic feedback was not always effective over button based triggering, and that there are trade-offs associated with the different types of canvas geometries used. This work attempts at laying a foundation for future investigations that seek to understand and further improve the on-air writing experience in immersive virtual environments.";"2022";"Venkatakrishnan, Roshan and Venkatakrishnan, Rohith and Chung, Chih-Han and Wang, Yu-Shuen and Babu, Sabarish";"ACM Trans. Appl. Percept.";"https://doi.org/10.1145/3560817"
"Pain distraction for children through VR- or audio-haptic soundscapes in situ";"In this pilot study we compare two prototype applications developed in collaboration with Rigshospitalet, the main hospital in Denmark, aimed to evaluate the effectiveness of a virtual reality (VR)- versus an audio-haptic based solution, as a pain distraction tool for children aged 5 to 8 during needle-related medical procedures. Both prototypes were developed with a narrative where children help a farmer find hidden animals. The final prototype underwent testing in situ, at Rigshospitalet’s clinic for blood tests. Here, participants’ pain levels were assessed using the Wong-Baker FACES Scale [9] and the Visual Analogue Scale [5]. Both prototypes saw participants report reduced pain perception, skewing more in favor of the VR prototype. However, the audio-haptic prototype showed similar levels of reduction in pain perception when effective. The study concludes that both VR- and audio-haptic based distraction are viable methods, that each cover a group’s needs within medical procedures involving young children (those who need to not see the procedure, and those who do), and that these should be further developed and implemented in said medical procedures.";"2023";"Bordum, Maya and Engberg, Emil and Hansen, Peter Blomsgård and Jensen, Nickolai Frederik Schouborg and Jægerlund, Martin Fritzbøger and Mouritzen, Jeppe Nygaard and Poulsen, Hannibal Hjelming and Ravnsborg, Lukas Gade and Rybak, Celine Zeh and Stappert, Frederik Hald and Troldahl, Bjørn and Winther, Julius Ebenau and Nordahl, Rolf";"Proceedings of the 29th ACM symposium on virtual reality software and technology";"https://doi.org/10.1145/3611659.3617220"
"Low-cost VR collaborative system equipped with haptic feedback";"In this paper, we present a low-cost virtual reality (VR) collaborative system equipped with a haptic feedback sensation system. This system is composed of a Kinect sensor for bodies and gestures detection, a microcontroller and vibrators to simulate outside interactions, and smartphone powered cardboard, all of this are put into a network implemented with Unity 3D game engine.";"2018";"Benbelkacem, Samir and Bellarbi, Abdelkader and Zenati-Henda, Nadia and Bentaleb, Ahmed and Bellabaci, Ahmed Nazim and Otmane, Samir";"Proceedings of the 24th ACM symposium on virtual reality software and technology";"https://doi.org/10.1145/3281505.3281615"
"Visuo-haptic collaborative augmented reality ping-pong";"In our current work we examine the development of visuohaptic augmented reality setups and their extension to collaborative experiences in entertainment settings. To this end, an expandable system architecture supporting multiple users is one of the most indispensable prerequisites. In addition, system stability, low latency, accurate calibration and stable overlay of the virtual objects have to be assured. In this paper we provide an overview of our framework and present our collaborative example application, an augmented reality visuo-haptic ping-pong game for two players. The users play with a virtual ball in a real environmentwhile, by using virtual bats colocated with haptic devices, they are able to feel the impact of the simulated ball on the bat.";"2007";"Knoerlein, Benjamin and Székely, Gábor and Harders, Matthias";"Proceedings of the international conference on advances in computer entertainment technology";"https://doi.org/10.1145/1255047.1255065"
"Haptic collaboration with augmented reality";"We describe a (face-to-face) collaborative environment that provides a coherent mix of real world video, computer haptics, graphics and audio. This system is a test-bed for investigating new collaborative affordances and behaviours.";"2004";"Adcock, Matt and Hutchins, Matthew and Gunn, Chris";"ACM SIGGRAPH 2004 posters";"https://doi.org/10.1145/1186415.1186463"
"Demonstrating HapticBots: Distributed encountered-type haptics for VR with multiple shape-changing mobile robots";"HapticBots introduces a novel encountered-type haptic approach for Virtual Reality (VR) based on multiple tabletop-size shape-changing robots. These robots move on a tabletop and change their height and orientation to haptically render various surfaces and objects on-demand. Compared to previous encountered-type haptic approaches like shape displays or robotic arms, our proposed approach has an advantage in deployability, scalability, and generalizability—these robots can be easily deployed due to their compact form factor. They can support multiple concurrent touch points in a large area thanks to the distributed nature of the robots. We propose and evaluate a novel set of interactions enabled by these robots which include: 1) rendering haptics for VR objects by providing just-in-time touch-points on the user’s hand, 2) simulating continuous surfaces with the concurrent height and position change, and 3) enabling the user to pick up and move VR objects through graspable proxy objects. Finally, we demonstrate HapticBots with various applications, including remote collaboration, education and training, design and 3D modeling, and gaming and entertainment.";"2021";"Suzuki, Ryo and Ofek, Eyal and Sinclair, Mike and Leithinger, Daniel and Gonzalez-Franco, Mar";"Adjunct proceedings of the 34th annual ACM symposium on user interface software and technology";"https://doi.org/10.1145/3474349.3480202"
"Haptic network protocols: a comprehensive review and directions for next-gen metaverse applications";"This paper presents a systematic review of haptic network protocols, in the context of the Metaverse. With the increasing integration of haptic technologies into applications like remote collaboration and robotic surgery, the need for reliable, low-latency data transmission has intensified. This work provides a comprehensive analysis of existing haptic protocols and frameworks, focusing on their development, implementation, and the methods employed to optimize Quality of Service (QoS) parameters such as latency, delay, packet loss, jitter, throughput, and bandwidth. By examining the strengths and limitations of these protocols in real-time applications, this paper identifies critical areas for improvement and suggests future directions, including the potential for incorporating machine learning (ML) and artificial intelligence (AI) to enable next-generation haptic communication suited for high-demand environments like the Metaverse.";"2025";"Faisal, Mohd and Martinez-Velazquez, Roberto Alejandro and Laamarti, Fedwa and Al Osman, Hussein and El Saddik, Abdulmotaleb";"ACM Trans. Multimedia Comput. Commun. Appl.";"https://doi.org/10.1145/3759459"
"Sustainable haptic design: Improving collaboration, sharing, and reuse in haptic design research";"Haptic devices have been around for decades, providing critical information, usability benefits and improved experiences across tasks from surgical operations to playful applications in Mixed Reality. We see more and more software and hardware solutions emerging that provide design tools, design approaches and platforms, both in academia and industry. However, we believe that designers often re-invent the wheel, and must spend an inordinate amount of time doing their work, which is not sustainable for long-term research. This workshop aims at gathering people from academia and industry to provide a common ground to discuss various insights on and visions of the field. We aim to bring together the various strands of haptics—devices, software, and design—to assess the current state-of-the-art and propose an agenda towards haptics as a united design discipline. We expect the outcome of the workshop to be a comprehensive overview of existing tools and approaches, along with recommendations on how to move the field forward, together.";"2022";"Schneider, Oliver and Fruchard, Bruno and Wittchen, Dennis and Joshi, Bibhushan Raj and Freitag, Georg and Degraen, Donald and Strohmeier, Paul";"Extended abstracts of the 2022 CHI conference on human factors in computing systems";"https://doi.org/10.1145/3491101.3503734"
"A wearable smart glove for tactile interaction";"Haptic interaction plays an indispensable role in human-computer interaction. By simulating tactile sensations and providing vivid tactile feedbacks, it enriches the interaction experience between users and digital interfaces. We designed a wearable haptic interaction glove that utilizes a dual-layer cooperative conductive structure of flexible resistive bending sensors to detect the degree of finger flexion, combined with a vibratory tactile actuator array to deliver tactile feedback. To enhance the effectiveness of tactile interaction delivery, we encoded tactile feedback based on vibration frequency, intensity, and duration, and designed a virtual scenario simulating the opening of a spacecraft door. Our glove showed its potential as a low-cost and advanced solution for human-computer interaction, with significant prospects in remote operation, rehabilitation medicine, and virtual reality applications.";"2024";"Zhu, Jiahang and Song, Aiguo and Shang, Ke and Wei, Zhikai";"Proceedings of the 2024 4th international conference on robotics and control engineering";"https://doi.org/10.1145/3674746.3674771"
"HapticPuppet: a kinesthetic mid-air multidirectional force-feedback drone-based interface";"Providing kinesthetic force-feedback for human-scale interactions is challenging due to the relatively large forces needed. Therefore, robotic actuators are predominantly used to deliver this kind of haptic feedback; however, they offer limited flexibility and spatial resolution. In this work, we introduce HapticPuppet, a drone-based force-feedback interface which can exert multidirectional forces onto the human body. This can be achieved by attaching strings to different parts of the human body such as fingers, hands or ankles, which can then be affixed to multiple coordinated drones - puppeteering the user. HapticPuppet opens up a wide range of potential applications in virtual, augmented and mixed reality, exercising, physiotherapy, remote collaboration as well as haptic guidance.";"2022";"Feick, Martin and Tang, Anthony and Krüger, Antonio";"Adjunct proceedings of the 35th annual ACM symposium on user interface software and technology";"https://doi.org/10.1145/3526114.3558694"
"Collaborative experience prototyping of automotive interior in VR with 3D sketching and haptic helpers";"Technological advances and socioeconomic disruptions such as self-driving cars, car-sharing services and artificial intelligence assistance may fundamentally alter interactions inside the future car. However, existing design tools and processes geared toward static physical authoring are ill-equipped for such interaction design. We propose a new design workflow that combines experience prototyping methods typically used by the user interface and product design communities with 3D sketching and haptic helper techniques to help automotive designers ideate, prototype, experience and evaluate multi-sensory interactions in a collaborative manner. Using our workflow, designers use 3D sketching to quickly and expressively author 3D shape and motion ideas in space; augment them with tactile and other sensory feedback through physical proxies and other available gadgets; and immediately enact and immersively experience them to progressively explore and develop them.";"2017";"An, Sang-Gyun and Kim, Yongkwan and Lee, Joon Hyub and Bae, Seok-Hyung";"Proceedings of the 9th international conference on automotive user interfaces and interactive vehicular applications";"https://doi.org/10.1145/3122986.3123002"
"HapticBots: Distributed encountered-type haptics for VR with multiple shape-changing mobile robots";"HapticBots introduces a novel encountered-type haptic approach for Virtual Reality (VR) based on multiple tabletop-size shape-changing robots. These robots move on a tabletop and change their height and orientation to haptically render various surfaces and objects on-demand. Compared to previous encountered-type haptic approaches like shape displays or robotic arms, our proposed approach has an advantage in deployability, scalability, and generalizability—these robots can be easily deployed due to their compact form factor. They can support multiple concurrent touch points in a large area thanks to the distributed nature of the robots. We propose and evaluate a novel set of interactions enabled by these robots which include: 1) rendering haptics for VR objects by providing just-in-time touch-points on the user’s hand, 2) simulating continuous surfaces with the concurrent height and position change, and 3) enabling the user to pick up and move VR objects through graspable proxy objects. Finally, we demonstrate HapticBots with various applications, including remote collaboration, education and training, design and 3D modeling, and gaming and entertainment.";"2021";"Suzuki, Ryo and Ofek, Eyal and Sinclair, Mike and Leithinger, Daniel and Gonzalez-Franco, Mar";"The 34th annual ACM symposium on user interface software and technology";"https://doi.org/10.1145/3472749.3474821"
"Haptic enhancements for collaborative scenarios in virtual environment";NA;"2003";"Daly, Jason and Washburn, Don and Lazarus, Todd and Reeder, John and Martin, Glenn A.";"ACM SIGGRAPH 2003 sketches &amp; applications";"https://doi.org/10.1145/965400.965496"
"A platform for bimanual virtual assembly training with haptic feedback in large multi-object environments";"We present a virtual reality platform which addresses and integrates some of the currently challenging research topics in the field of virtual assembly: realistic and practical scenarios with several complex geometries, bimanual six-DoF haptic interaction for hands and arms, and intuitive navigation in large workspaces. We put an especial focus on our collision computation framework, which is able to display stiff and stable forces in 1 kHz using a combination of penalty- and constraint-based haptic rendering methods. Interaction with multiple arbitrary geometries is supported in realtime simulations, as well as several interfaces, allowing for collaborative training experiences. Performance results for an exemplary car assembly sequence which show the readiness of the system are provided.";"2016";"Sagardia, Mikel and Hulin, Thomas and Hertkorn, Katharina and Kremer, Philipp and Schätzle, Simon";"Proceedings of the 22nd ACM conference on virtual reality software and technology";"https://doi.org/10.1145/2993369.2993386"
"Modeling the effects of delayed haptic and visual feedback in a collaborative virtual environment";"Collaborative virtual environments (CVEs) enable two or more people, separated in the real world, to share the same virtual “space.” They can be used for many purposes, from teleconferencing to training people to perform assembly tasks. Unfortunately, the effectiveness of CVEs is compromised by one major problem: the delay that exists in the networks linking users together. Whilst we have a good understanding, especially in the visual modality, of how users are affected by delayed feedback from their own actions, little research has systematically examined how users are affected by delayed feedback from other people, particularly in environments that support haptic (force) feedback. The current study addresses this issue by quantifying how increasing levels of latency affect visual and haptic feedback in a collaborative target acquisition task. Our results demonstrate that haptic feedback in particular is very sensitive to low levels of delay. Whilst latency affects visual feedback from 50 ms, it impacts on haptic task performance 25 ms earlier, and causes the haptic measures of performance deterioration to rise far more steeply than visual. The “impact-perceive-adapt” model of user performance, which considers the interaction between performance measures, perception of latency, and the breakdown of perception of immediate causality, is proposed as an explanation for the observed pattern of performance.";"2007";"Jay, Caroline and Glencross, Mashhuda and Hubbold, Roger";"ACM Trans. Comput.-Hum. Interact.";"https://doi.org/10.1145/1275511.1275514"
"Revealing the realities of collaborative virtual reality";"We look at differences between the experience of virtual environments and physical reality, and consider making the technical limitations which cause these differences 'visible', aiming to provide resources to enhance communication between users. Three causes of such discrepancies are considered to illustrate this idea: field-of-view; haptic feedback; and network delays. For each, we examine ways of revealing the limitations of the virtual world as resources to better understand the intricacies of system and co-user behaviour. These examples introduce a broader discussion of design issues involved in producing interfaces for day-to-day collaboration through virtual environments. Issues include: the application and activity undertaken through the virtual world; the ability to focus on the business at hand rather than the system in use; and extent of users' familiarity with application and system.";"2000";"Fraser, Mike and Glover, Tony and Vaghi, Ivan and Benford, Steve and Greenhalgh, Chris and Hindmarsh, Jon and Heath, Christian";"Proceedings of the third international conference on collaborative virtual environments";"https://doi.org/10.1145/351006.351010"
"Collaborative hands-on training on haptic simulators";"Medical trainees are required to acquire sufficient skills before touching a real patient. Nowadays, haptic simulators provide an effective solution but they do not facilitate an active supervision by a trainer who should show the right gestures in terms of motions and forces to apply, in the simulated environment. Dual user training systems aim at this purpose. Even though they permit a cooperative training, they generally dot not enable efficient demonstration/evaluation modes where the user who observes the person performing a manipulation is also able to feel the interaction forces, not only the motion. We earlier introduced the Energy Shared Control (ESC) architecture aiming at providing the latter function. It is modeled with the Port Hamiltonian framework and it embeds a Time Domain Passivity Controller, to compose a one degree-of-freedom (dof) dual-user haptic system for hands-on training. In this paper, we extend it to three dof with three identical haptic devices. Experiments bring information about its performance.";"2019";"Licona R., Angel R. and Liu, Fei and Lelevé, Arnaud and Pham, Minh Tu";"Proceedings of the 2019 3rd international conference on virtual and augmented reality simulations";"https://doi.org/10.1145/3332305.3332318"
