"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Proactive Desk: A New Haptic Display System for a Digital Desk Using a 2-DOF Linear Induction Motor","H. Noma; S. Yoshida; Y. Yanagida; N. Tetsutani","ATR Media Information Science Laboratories, Kyoto, Japan, noma@atr.jp; ATR Media Information Science Laboratories, Kyoto, Japan, shun@atr.jp; ATR Media Information Science Laboratories, Kyoto, Japan, yanagida@atr.jp; ATR Media Information Science Laboratories, Kyoto, Japan, tetsutani@atr.jp",Presence,"19 May 2014","2004","13","2","146","163","The Proactive Desk is a new digital desk with haptic feedback. The concept of a digital desk was proposed by Wellner in 1991 for the first time. A typical digital desk enables a user to seamlessly handle both digital and physical objects on the desk with a common GUI standard. The user, however, handles them as virtual GUI objects. Our Proactive Desk allows the user to handle both digital and physical objects on a digital desk with a realistic feeling. In the Proactive Desk, two linear induction motors are equipped to generate an omnidirectional translational force on the user's hand or on a physical object on the desk without any mechanical links or wires, thereby preserving the advantages of the digital desk. In this article, we first discuss applications of a digital desk with haptic feedback; then we mention the design and structure of the first trial Proactive Desk, and its performance.","1054-7460","","10.1162/1054746041382438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6789031","","","","6","","","","19 May 2014","","","MIT Press","MIT Press Journals"
"Transatlantic Touch: A Study of Haptic Collaboration over Long Distance","J. Kim; H. Kim; B. K. Tay; M. Muniyandi; M. A. Srinivasan; J. Jordan; J. Mortensen; M. Oliveira; M. Slater","The Touch Lab, Department of Mechanical Engineering and The Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA; The Touch Lab, Department of Mechanical Engineering and The Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA; The Touch Lab, Department of Mechanical Engineering and The Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA; The Touch Lab, Department of Mechanical Engineering and The Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA; The Touch Lab, Department of Mechanical Engineering and The Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, MA; Department of Computer Science, University College London, London; Department of Computer Science, University College London, London; Department of Computer Science, University College London, London; Department of Computer Science, University College London, London",Presence,"19 May 2014","2004","13","3","328","337","The extent to which the addition of haptic communication between human users in a shared virtual environment (SVE) contributes to the shared experience of the users has not received much attention in the literature. In this paper we describe a demonstration of and an experimental study on haptic interaction between two users over a network of significant physical distance and a number of network hops. A number of techniques to mitigate instability of the haptic interactions induced by network latency are presented. An experiment to evaluate the use of haptics in a collaborative situation mediated by a networked virtual environment is examined. The experimental subjects were to cooperate in lifting a virtual box together under one of four conditions in a between-groups design. Questionnaires were used to report the ease with which they could perform the task and the subjective levels of presence and copresence experienced. This extends earlier work by the authors to consider the possibility of haptic collaboration under real network conditions with a number of improvements. Using the technology described in this paper, transatlantic touch was successfully demonstrated between the Touch Lab at Massachusetts Institute of Technology, USA and Virtual Environments and Computer Graphics (VECG) lab at University College London (UCL), UK in 2002. It was also presented at the Internet II demonstration meeting in 2002 between University of Southern California and the Massachusetts Institute of Technology.","1054-7460","","10.1162/1054746041422370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6788847","","","","46","1","","","19 May 2014","","","MIT Press","MIT Press Journals"
"A Performance Evaluation of a Hybrid Multicast Transport Protocol for a Distributed Collaborative Virtual Simulation of a Brain Tumor Tele-Surgery Class of Applications","A. Boukerche; H. Maamar; A. Hossain","PARADISE Research Laboratory, University of Ottawa, Canada; PARADISE Research Laboratory, University of Ottawa, Canada; PARADISE Research Laboratory, University of Ottawa",2007 12th IEEE Symposium on Computers and Communications,"12 Nov 2007","2007","","","975","980","Haptic interfaces have been designed for brain surgery simulation may prove to be especially useful for training surgeons to conduct minimally invasive procedures and remote surgery using tele-operators. However, it well known that collaborative, haptic, audio and visual environments (C-HAVE) suffer from setbacks due to network delay, scalability, reliability and synchronization problem when the users are geographically distributed. In this paper, we focus upon a Brain Tumor Tele-Surgery application that is based on closely coupled and highly synchronized haptic tasks that require a high-level of coordination among the participants. We considered four main protocols: the synchronous collaboration transport protocol (SCTP), the selective reliable transmission protocol (SRTP), the reliable multicast transport protocol (RMTP) and the scalable reliable multicast (SRM) and presented a hybrid protocol that is able to satisfy all the CVE and C-HAVE requirements and discuss its implementation using brain tumor tele-surgery application as a case study.","1530-1346","978-1-4244-1520-5","10.1109/ISCC.2007.4381516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4381516","","Multicast protocols;Transport protocols;Collaboration;Brain modeling;Neoplasms;Haptic interfaces;Minimally invasive surgery;Delay;Industrial training;Scalability","","5","","6","IEEE","12 Nov 2007","","","IEEE","IEEE Conferences"
"A meta user interface for interaction with mixed reality environments","A. Mostafazadeh; A. A. N. Shirehjini; S. Daraei; N. Khojasteh; S. Shirmohammadi","Department of Computer Engineering, Sharif University of Technology, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran; Distributed and Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada","2015 IEEE International Symposium on Haptic, Audio and Visual Environments and Games (HAVE)","21 Dec 2015","2015","","","1","6","The aim of this paper is the design and development of a novel user interface to interact with a meta system. Our focus is rather on interacting with Ambient Intelligence as a whole, which would for example enable users to influence the overall behaviors and attributes of dynamic device compositions. We call such interfaces Meta User Interfaces. The design details of a proposed user interface as well as a cognitive walkthrough evaluation are presented in this paper.","","978-1-4673-9175-7","10.1109/HAVE.2015.7359449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359449","","User interfaces;Ambient intelligence;Automation;Intelligent systems;Interviews;Home appliances","","1","","26","IEEE","21 Dec 2015","","","IEEE","IEEE Conferences"
"Remote collaboration using a tele-presence mobile projector robot tele-operated by a smartphone","J. -g. Ahn; G. J. Kim","Digital Experience Laboratory, Korea University, Seoul, Korea; Digital Experience Laboratory, Korea University, Seoul, Korea",2016 IEEE/SICE International Symposium on System Integration (SII),"9 Feb 2017","2016","","","236","241","In this paper, we present SPRinT (Smart Phone/Pad and Robot for Tele-operation and Tele-presence), a tele-presence robot for HRI controlled by a smart phone. It uses the projection display as a main communication channel between the local and remote users and we describe the interaction model for such an HRI scenario. We focus on the interaction model and interplay among the robot controlling (local) user, tele-presence robot, and the counterpart person in the remote environment the local user attempting to interact with using the projection display. We outline the technical and interface requirements for understanding the target remote space, and initiating and setting up such an information exchange for the local user (and partly for the remote).","2474-2325","978-1-5090-3329-4","10.1109/SII.2016.7844004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844004","","Cameras;Robot vision systems;Aerospace electronics;Smart phones","","4","","30","IEEE","9 Feb 2017","","","IEEE","IEEE Conferences"
"""Personal Practically Panoramic"" Multimodal Interfaces","K. Kanno; N. Fernando; A. Bolhassan; S. Narita; M. Cohen","Spatial Media Group, University of Aizu, Fukushima, Japan; Spatial Media Group, University of Aizu, Fukushima, Japan; Spatial Media Group, University of Aizu, Fukushima, Japan; Spatial Media Group, University of Aizu, Fukushima, Japan; Spatial Media Group, University of Aizu, Fukushima, Japan",IEEE Virtual Reality Conference (VR 2006),"7 Aug 2006","2006","","","322","322","We have developed second-generation prototypes of the Internet Chair, a novel internet appliance. The first generation explored using the chair as an input device; ¡°S chaire,¡± the prototype employed here, is a pivot (swivel, rotating) chair deployed as an output device, a rotary motion-platform information appliance, dynamically aligning haptic display with wireless visual displays and spatial audio in rotation-invariant virtual spaces. As a haptic output modality, chairs with servomotors render kinesthetic and proprioceptive cues, twisting under networked control, to direct the attention of a seated subject orienting seated users like a ¡°dark ride¡± amusement park attraction or under active user control, local or distributed. Using its audio display modality, ¡°nearphones¡± embedded in the seat headrest, the system can present unencumbered binaural sound with soundscape stabilization for multichannel sound image localization. In groupware situations like teleconferencing, chat spaces, or multiplayer gaming, such orientation is also synchronized with panoramic or turnoramic displays or twisting iconic representations of the users, avatars in virtual spaces, enabling social situation awareness. The S chaire, manifesting as personal LBE (location-based entertainment), can be used in both stand-alone and networked applications.We have developed several clients that exploit such ¡°practically panoramic¡± capability, including simulators, games, and 360¢ª browsers, providing sensory-integrated multimodal applications, variously including stereographic or mobile features.","2375-5334","1-4244-0224-7","10.1109/VR.2006.1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1667685","reality/virtuality;haptic interface;information furniture;locationbased;entertainment (LBE);motion platform;networked appliance;soundscape stabilization.","Auditory displays;Internet;Home appliances;Haptic interfaces;Prototypes;Virtual prototyping;Servomotors;Distributed control;Collaborative software;Collaborative work","","1","","7","IEEE","7 Aug 2006","","","IEEE","IEEE Conferences"
"Designing a Vibrotactile Head-Mounted Display for Spatial Awareness in 3D Spaces","V. A. de Jesus Oliveira; L. Brayda; L. Nedel; A. Maciel","Instituto de Informática, Universidade Federal do Rio Grande do Sul - UFRGS, Porto Alegre, Brazil; Department of Robotics, Brain and Cognitive Science, Fondazione Istituto Italiano di Tecnologia - IIT, Genoa, Italy; Instituto de Informática, Universidade Federal do Rio Grande do Sul-UFRGS; Instituto de Informática, Universidade Federal do Rio Grande do Sul-UFRGS",IEEE Transactions on Visualization and Computer Graphics,"14 Mar 2017","2017","23","4","1409","1417","Due to the perceptual characteristics of the head, vibrotactile Head-mounted Displays are built with low actuator density. Therefore, vibrotactile guidance is mostly assessed by pointing towards objects in the azimuthal plane. When it comes to multisensory interaction in 3D environments, it is also important to convey information about objects in the elevation plane. In this paper, we design and assess a haptic guidance technique for 3D environments. First, we explore the modulation of vibration frequency to indicate the position of objects in the elevation plane. Then, we assessed a vibrotactile HMD made to render the position of objects in a 3D space around the subject by varying both stimulus loci and vibration frequency. Results have shown that frequencies modulated with a quadratic growth function allowed a more accurate, precise, and faster target localization in an active head pointing task. The technique presented high usability and a strong learning effect for a haptic search across different scenarios in an immersive VR setup.","1941-0506","","10.1109/TVCG.2017.2657238","CAPES; CNPq-Brazil(grant numbers:305071/2012-2); Ligurian PARFAS(grant numbers:CUP G35C13001360001); EUFP7 grant BLINDPAD(grant numbers:611621); CNPq-Brazil(grant numbers:305071/2012-2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7829406","Vibrotactile head-mounted display;haptic interaction;spatial awereness;3D environments","Three-dimensional displays;Frequency modulation;Vibrations;Azimuthal plane;Haptic interfaces;Visualization;Skin","","74","","39","IEEE","23 Jan 2017","","","IEEE","IEEE Journals"
"Evaluation Patterns of Tele-Haptics","X. Shen; J. Zhou; N. D. Georganas","Distributed and Collaborative Virtual Environments Research Laboratory DISCOVER, School of Information Technology and Engineering SITE, University of Ottawa, Canada; Distributed and Collaborative Virtual Environments Research Laboratory DISCOVER, School of Information Technology and Engineering SITE, University of Ottawa, Canada; Distributed and Collaborative Virtual Environments Research Laboratory DISCOVER, School of Information Technology and Engineering SITE, University of Ottawa, Canada",2006 Canadian Conference on Electrical and Computer Engineering,"15 Jan 2007","2006","","","1542","1545","Multimedia and information technology are reaching limits in terms of what can be done in multimedia applications with only sight and sound. The next critical step is to bring the sense of ""touch"" over network connections, which is commonly known as tele-haptics. In this paper, we present methodologies for performing usability evaluation of tele-haptics system. The overall performance of a tele-haptics system relies on two aspects: the mechanical characteristics of the haptic device used and system architecture","0840-7789","1-4244-0038-4","10.1109/CCECE.2006.277764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4054712","","Haptic interfaces;Humans;Collaboration;Virtual environment;Temperature sensors;Feedback;Context modeling;Delay effects;Stability;Information technology","","2","","6","IEEE","15 Jan 2007","","","IEEE","IEEE Conferences"
"Separate DOF control and mutual guidance in networked haptic collaboration maze game: Design and evaluation","Lingzhi Liu; Guanyang Liu; Yuru Zhang; Weidong Guo; Keke Lu; Moyuan Zhou","State Key Laboratory of Virtual Reality Technology and Systems, Robotics Institute, Beihang University, China; State Key Laboratory of Virtual Reality Technology and Systems, Robotics Institute, Beihang University, China; State Key Laboratory of Virtual Reality Technology and Systems, Robotics Institute, Beihang University, China; Beihang University, Beijing, CN; Beihang University, Beijing, CN; Beihang University, Beijing, CN",2011 IEEE International Conference on Robotics and Automation,"18 Aug 2011","2011","","","913","918","In this paper we study on haptic collaboration in a maze game over computer network. Two players located at separated places operate each haptic device to collaboratively finish the game task. Herein, a new collaboration mode of manipulation separate DOF control is proposed for the first time. Separate DOF control here means each player controls one DOF of an object or a task independently in collaborative virtual environment. Mutual guidance is also proposed which provides guidance force to each player. We setup an experiment to evaluate its efforts on cooperation performance and co-presence. Twelve participants did the experiment. The results revealed that this collaboration mode is effective. Ten of the twelve participants believed that they performed well in the experiment and thought the collaboration way was very interesting. The presented results motivated a new haptic collaboration mode in the fields of game design, education and cooperative assembly.","1050-4729","978-1-61284-385-8","10.1109/ICRA.2011.5979832","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5979832","","Collaboration;Games;Force;Phantoms;Graphics;Force feedback","","4","","20","IEEE","18 Aug 2011","","","IEEE","IEEE Conferences"
"How to improve group performances on colocated synchronous manipulation tasks?","J. Simard; A. Girard; A. Mayeur; M. Ammi","CNRS-LIMSI, University Paris-Sud, Orsay, France; CNRS-LIMSI, University Paris-Sud, Orsay, France; CNRS-LIMSI, Orsay, France; CNRS-LIMSI, University Paris-Sud, Orsay, France",2012 IEEE International Workshop on Haptic Audio Visual Environments and Games (HAVE 2012) Proceedings,"6 Dec 2012","2012","","","13","18","Collaborative Virtual Environments provide new working methods to associate several users on the same problem through different space and time configurations (synchronous/ asynchronous, distant/colocated). This new approach enables the simultaneous management of complex environments with several constraints for a more robust and efficient process. Previous studies investigate various features of synchronous Collaborative Virtual Environment but they mainly focus on configurations involving mainly 2 users. This paper presents an experimental study which investigates the collaborative work for more users. We propose to compare 2 users with 4 users to perform a closely coupled molecular deformation task. The results show that groups of 4 participants are more efficient than pairs, even more if they plan their actions during a brainstorming step. An important outcome of this study shows that the role of a leader improve the coordination between the participants and limit the conflicting communication.","","978-1-4673-1567-8","10.1109/HAVE.2012.6374435","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6374435","","Collaboration;Force;Haptic interfaces;Planning;Atmospheric measurements;Particle measurements;Electronic mail","","1","","17","IEEE","6 Dec 2012","","","IEEE","IEEE Conferences"
"Guest Editorial: Special Issue on Haptics, Virtual, and Augmented Reality","G. C. Burdea; M. C. Lin; W. Ribarsky; B. Watson","Electrical and Computer Engineering Department, Rutgers University, Piscataway, NJ, USA; Computer Science Department, North Carolina State University, Chapel Hill, NC, USA; Charlotte Visualization Center, University of North Carolina, Charlotte, Charlotte, NC, USA; Department of Computer Science, Northwestern University, Evanston, IL, USA",IEEE Transactions on Visualization and Computer Graphics,"26 Sep 2005","2005","11","6","611","613","Guest Editorial: Special Issue on Haptics, Virtual, and Augmented Reality","1941-0506","","10.1109/TVCG.2005.102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1512012","","Haptic interfaces;Augmented reality;Avatars;Virtual environment;Application software;Graphics;Cameras;Displays;Robot vision systems;Anthropomorphism","Computer Simulation;Computer Systems;Data Display;Environment;Humans;Imaging, Three-Dimensional;Models, Theoretical;Online Systems;Touch;User-Computer Interface","15","","","IEEE","26 Sep 2005","","","IEEE","IEEE Journals"
"Passivity-based position consensus of multiple mechanical integrators with communication delay","K. Huang; D. Lee","Department of Mechanical, Aerospace & Biomedical Engineering, University of Tennessee, Knoxville, TN, USA; Department of Mechanical, Aerospace & Biomedical Engineering, University of Tennessee, Knoxville, TN, USA",Proceedings of the 2010 American Control Conference,"29 Jul 2010","2010","","","836","841","We present a consensus framework for multiple variable-rate heterogeneous mechanical integrators (i.e. multidimensional integrators with mass, damping and spring matrices) on undirected graph with constant, yet, non-uniform communication delay. By connecting multiple mechanical integrators via (discrete-time) spring connections over delayed links with some damping injection, our proposed framework not only achieves position consensus, but also enforces closed-loop discrete-time passivity. Moreover, it allows arbitrary control gains regardless of integration steps, if there is no delay. Simulation result is also given to support the theory.","2378-5861","978-1-4244-7427-1","10.1109/ACC.2010.5530740","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5530740","","Delay;Damping;Springs;Haptic interfaces;Communication system control;Joining processes;Humans;Virtual environment;Graph theory;Mechanical variables control","","3","","21","","29 Jul 2010","","","IEEE","IEEE Conferences"
"Auditory decorator of complex sounds for teleoperation systems","H. Kuramata; T. Yakoh","Department of System Design Engineering, Keio University, Japan; Department of System Design Engineering, Keio University, Japan",2011 9th IEEE International Conference on Industrial Informatics,"6 Oct 2011","2011","","","227","232","Communication delay in network is inevitable issue and it causes discomfort in manipulation of teleoperation systems. One of the solutions for this problem is decorator. Decorator is a technique to decrease the discomfort by modifying visual or auditory feedback based on the other information, which is transmitted with shorter delay, to its operator. In the former study, the artificial modification improves the usability of teleoperation. In this paper, we proposed an auditory decorator composed of complex sounds. Complex sounds have an ability to express multidimensional information. Therefore, with the complex sound, various information can be included in auditory information. We chose chord sounds and sign sounds as complex sounds and implemented the auditory decorator. From result of the user study to evaluate the proposed decorator, the proposed decorator is more effective to improve the usability of teleoperation system than the conventional one.","2378-363X","978-1-4577-0434-5","10.1109/INDIN.2011.6034878","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6034878","","Visualization;Delay;Rails;Haptic interfaces;Usability;Interviews;Force","","","","8","IEEE","6 Oct 2011","","","IEEE","IEEE Conferences"
"Immerstar, a still evolving 25 years old VR research facility","R. Gaugne","CNRS, IRISA, Univ Rennes, Inria",2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"24 Apr 2025","2025","","","181","184","The two platforms Immersia and Immermove offer an immersive collaborative space called ImmerStar, intended for the scientific and industrial community, for international research projects. Immersia is a 3D virtual reality platform which, thanks to its exceptional dimensions, offers an environment for experimentation, particularly in the context of real-time and multi-modal interaction (vision, sound, haptics, brain-computer interface) between humans and virtual models. Immermove is a technological platform dedicated to motion capture, extended by a virtual reality space. It enables the precise capture of rapid movements (sports for example) or of a group of people, in order to study human behavior such as crowd-movement or sport gestures. This paper presents the history of the evolution of these two joint platforms, an overview of their technical specifications, associated research projects and perspective of evolutions.","","979-8-3315-1484-6","10.1109/VRW66409.2025.00045","Equipex; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10972772","Virtual reality;haptics;motion capture","Geometry;Solid modeling;Three-dimensional displays;Virtual reality;Motion capture;Real-time systems;Haptic interfaces;Teamwork;History;Sports","","","","14","IEEE","24 Apr 2025","","","IEEE","IEEE Conferences"
"Impact of Multimodal Instructions for Tool Manipulation Skills on Performance and User Experience in an Immersive Environment","C. Simon; M. Boukli-Hacene; F. Lebrun; S. Otmane; A. Chellali",IBISC Lab Univ Evry Paris Saclay; IBISC Lab Univ Evry Paris Saclay; IBISC Lab Univ Evry Paris Saclay; IBISC Lab Univ Evry Paris Saclay; IBISC Lab Univ Evry Paris Saclay,2024 IEEE Conference Virtual Reality and 3D User Interfaces (VR),"15 Apr 2024","2024","","","670","680","With the mentoring model, a mentee can learn technical skills under the supervision of more experienced peers who demonstrate their knowledge through several communication modalities. Supporting the mentoring model within shared immersive training simulators holds promise in enhancing mentor-mentee interactions and learning outcomes in a safe environment. However, efficient communication within these spaces remains an open issue. This work presents a user study that explores the combination of communication modalities (verbal-visual, verbal-haptic, visual-haptic, and verbal-visual-haptic) to convey instructions to learners on the amplitude of movements to perform during a tool-handling task in an immersive environment. The study aims to examine the impact of the four modality combinations on performance (speed and accuracy of movement replication), mental workload, and participants’ user experience. The results show that participants achieved higher accuracy with the visual-haptic and verbal-visual-haptic conditions. Moreover, they performed the movements faster, and their movement trajectories were closer to the reference trajectories in the visual-haptic condition. Finally, the most preferred verbal-visual-haptic combination enhanced the users’ sense of presence, co-presence, social presence, and learning experience. No impact on the mental workload was observed. These results suggest that combining haptic and visual modalities is the best suited for enhancing learners’ performance. Adding the verbal modality can also improve the user experience in the immersive learning environment. These findings contribute to improving the design of immersive collaborative systems and pave the way for exploring novel avenues of research into the efficacy of multimodal communication for enhancing the mentoring-based acquisition of technical skills in VR. These tools hold promise for diverse applications, including medical simulation.","2642-5254","979-8-3503-7402-5","10.1109/VR58804.2024.00087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494100","Multimodal interactions;Mentorship;Remote collaboration;Immersive learning;Human-centered computing Virtual reality;Human-centered computing User studies;Human-centered computing Collaborative interaction","Training;Visualization;Three-dimensional displays;Collaboration;User interfaces;Motors;User experience","","4","","58","IEEE","15 Apr 2024","","","IEEE","IEEE Conferences"
"Replicating Human-Human Physical Interaction","K. B. Reed; J. Patton; M. Peshkin","Laboratory for Intelligent Mechanical Systems, Northwestern University, Evanston, IL, USA; Mechanical Engineering, Northwestern, Rehabilitation Institute of Chicago, Chicago, IL, USA; Laboratory for Intelligent Mechanical Systems, Northwestern University, Evanston, IL, USA",Proceedings 2007 IEEE International Conference on Robotics and Automation,"21 May 2007","2007","","","3615","3620","Machines might physically interact with humans more smoothly if we better understood the subtlety of human-human physical interaction. We recently reported that two people working cooperatively on a physical task will quickly negotiate an emergent strategy: typically subjects formed a temporal specialization such that one member commands the early parts of motion and the other the late parts. In our study, we replaced one of the humans with a robot programmed to perform one of the typical human specialized roles. We expected the remaining human to adopt the complementary specialized role. Subjects did believe that they were interacting with another human but did not adopt a specialized behavior as subjects would when physically working with another human; our negative result suggests a very subtle negotiation takes place in human-human physical interaction.","1050-4729","1-4244-0601-3","10.1109/ROBOT.2007.364032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4209650","","Haptic interfaces;Force feedback;Human robot interaction;Virtual environment;Force control;Intelligent systems;Mechanical systems;Position control;Error correction;Robotics and automation","","25","","21","IEEE","21 May 2007","","","IEEE","IEEE Conferences"
"Field of view deficiency-based dominance distribution for collaborative teleoperation","B. Gromov; G. Ivanova; J. -H. Ryu","Biorobotics Laboratory, Korea University of Technology and Education, Cheonan, South Korea; Biorobotics Laboratory, Korea University of Technology and Education, Cheonan, South Korea; Biorobotics Laboratory, Korea University of Technology and Education, Cheonan, South Korea","2012 12th International Conference on Control, Automation and Systems","31 Dec 2012","2012","","","1990","1993","This paper intoduces a preliminary study on a new control decomposition criterion for collaborative teleoperation systems - field of view deficiency. This criterion represents the amount of visual information available to operators. As a tool for such decomposition we introduce a dominance distribution matrix - a more flexible approach to dominance distribution than a well-known scalar dominance factor concept. We introduce collaborative teleoperation architecture, based on field of view deficiency criterion and apply it to experimental dual-master/single-slave teleoperation system. Experimental study demonstrates the effectiveness of the proposed approaches.","","978-89-93215-04-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6393177","Teleoperation;collaborative control;dominance distribution;field of view deficiency;multiple-master single-slave;haptic interface","Cameras;Collaboration;Robots;Vectors;Visualization;Force;Haptic interfaces","","2","","7","","31 Dec 2012","","","IEEE","IEEE Conferences"
"A network architecture supporting consistent rich behavior in collaborative interactive applications","J. Marsh; M. Glencross; S. Pettifer; R. Hubbold","School of Computer Science, University of Manchester, Institute of Science and Technology, Manchester, UK; School of Computer Science, University of Manchester, Institute of Science and Technology, Manchester, UK; School of Computer Science, University of Manchester, Institute of Science and Technology, Manchester, UK; School of Computer Science, University of Manchester, Institute of Science and Technology, Manchester, UK",IEEE Transactions on Visualization and Computer Graphics,"20 Mar 2006","2006","12","3","405","416","Network architectures for collaborative virtual reality have traditionally been dominated by client-server and peer-to-peer approaches, with peer-to-peer strategies typically being favored where minimizing latency is a priority and client-server where consistency is key. With increasingly sophisticated behavior models and the demand for better support for haptics, we argue that neither approach provides sufficient support for these scenarios nor, thus, a hybrid architecture is required. We discuss the relative performance of different distribution strategies in the face of real network conditions and illustrate the problems they face. Finally, we present an architecture that successfully meets many of these challenges and demonstrate its use in a distributed virtual prototyping application which supports simultaneous collaboration for assembly, maintenance, and training applications utilizing haptics","1941-0506","","10.1109/TVCG.2006.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608027","Virtual reality;network architecture and design;haptic I/O;computer-supported collaborative work;computer-supported cooperative work;simulation;modeling;and visualization;client/server;distributed applications;computer-aided design.","Intelligent networks;Collaboration;Haptic interfaces;Application software;Delay;Virtual prototyping;Collaborative work;Virtual reality;Peer to peer computing;Computer architecture","Communication;Computer Communication Networks;Computer Graphics;Cooperative Behavior;Signal Processing, Computer-Assisted;User-Computer Interface","56","","50","IEEE","20 Mar 2006","","","IEEE","IEEE Journals"
"Dual Purpose Multi-User Semi-Immersive Hapto-Acoustic Virtual Environment","T. Adriaansen","ICT Centre, CSIRO, Epping, NSW, Australia",Digital Image Computing: Techniques and Applications (DICTA'05),"16 Oct 2006","2005","","","21","21","Our hapto-acoustic virtual environment we call the ""haptic-workbench"" [1], has remained unchanged since 1994. Recent changes in available projector hardware technology now means that the system can be modified to address some inherent limitations in terms of user participation. In addition, the proposed changes are now more viable, whereas only six months ago such modifications were prohibitively expensive or not possible. Up to now the system has used active stereo for 3D graphics visualization but this implementation limits effective participation to one person. The new dual purpose environment is a more versatile system which may be used in one of two ways; a) single user mode or b) large volume display mode where many users can simultaneously participate. The semi-immersive attributes of the former haptic-workbench are retained in single user mode and when in large volume display mode the system allows multiple user involvement and interaction. The new dual purpose multi-user environment removes some of the restrictions which effectively limit interaction to one person operating in a narrow viewing space, is not limited to rooms needing special seating or lighting and addresses the increasing need for a sense of presence and interaction with many persons simultaneously. Groups of up to 30 can now experience the collaborative virtual environment (CVE) [2] rather than single user at a time and when networked allows the system to be used for educational interaction in a classroom setting with the possibility of similar numbers at each end. Methodology and some traps and pitfalls are discussed in terms of differing technologies used in generating the real time 3D stereo models and the realisation of the new system is given.","","0-7695-2467-2","10.1109/DICTA.2005.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1587623","","Virtual environment;Real time systems;Collaboration;Australia;Graphics;Displays;Information technology;Art;Haptic interfaces;Virtual reality","","","","9","IEEE","16 Oct 2006","","","IEEE","IEEE Conferences"
"Subjective and Objective Analyses of Collaboration and Co-Presence in a Virtual Reality Remote Environment","A. Bayro; Y. Ghasemi; H. Jeong",University of Illinois at Chicago; University of Illinois at Chicago; University of Illinois at Chicago,2022 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"20 Apr 2022","2022","","","485","487","Remote collaboration in virtual reality has gained attention and proved to be a viable solution for providing effective collaboration environments for physically distant collaborators. This study compares head-mounted display (HMD)- and computer-based remote collaboration solutions that allow users to interact with each other through immersive environments. Analyzing remote collaboration in immersive environments requires understanding group interactions and personal experiences. For this purpose, a 3D object assembly task was performed by 10 participants using self-reported surveys and physiological measures to investigate the effectiveness of collaboration from the users' perspective. The results showed that the HMD-based remote collaboration in a virtual reality environment increased the sense of co-presence among the users.","","978-1-6654-8402-2","10.1109/VRW55335.2022.00108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9757558","Virtual environment;virtual reality;co-presence;remote collaboration;physiology;Human-centered computing [Human computer interaction (HCI)]: Interaction paradigms-Mixed/augmented reality;Human-centered computing [Human computer interaction (HCI)]: Interaction paradigms-Collaborative interaction;Human-centered computing [Collaborative and social Computing]: Collaborative and social computing theory;concept and paradigms-Computer supported cooperative work","Social computing;Three-dimensional displays;Head-mounted displays;Conferences;Collaboration;Virtual reality;Resists","","23","","15","IEEE","20 Apr 2022","","","IEEE","IEEE Conferences"
